#Opis datoteke
#venue	shortName	name	locator	predavanja	labosi	ispiti	asistenata	javno
FER	03-01	03-01		20	0	0	0	0
FER	A001	A001		0	12	0	1	0
FER	A002	A002		50	1	30	1	0
FER	A101	A101		32	30	32	1	1
FER	A102	A102		32	30	32	1	1
FER	A105	A105		40	0	10	1	1
FER	A109	A109		16	15	16	1	1
FER	A110	A110		16	15	16	1	1
FER	A111	A111		80	0	42	1	1
FER	A201	A201		80	0	42	1	1
FER	A202	A202		80	0	42	1	1
FER	A209	A209		20	18	20	1	1
FER	A210	A210		20	18	20	1	1
FER	A211	A211		80	0	42	1	1
FER	A301	A301		80	0	40	1	1
FER	A302	A302		80	0	40	1	1
FER	A304	A304		0	24	0	1	0
FER	A309	A309		0	12	0	1	0
FER	A310	A310		0	12	0	1	0
FER	A311	A311		0	12	0	1	0
FER	A312	A312		0	12	0	1	0
FER	B0-24	B0-24		0	20	0	1	0
FER	B0-25	B0-25		0	1	0	1	0
FER	B1	B1		180	0	42	1	1
FER	B2	B2		99	0	30	1	1
FER	B3	B3		99	0	30	1	1
FER	B4	B4		180	0	56	2	1
FER	B5	B5		80	0	20	1	1
FER	C3-2	C3-2		0	12	0	1	0
FER	C1-12	C1-12		24	0	12	1	0
FER	C5-01	C5-01		0	12	0	1	0
FER	C7-14	C7-14		0	1	0	1	0
FER	C7-03	C7-03		0	15	0	1	0
FER	C7-18	C7-18		0	6	0	1	0
FER	C8-02	C8-02		10	10	10	1	0
FER	C9-02	C9-02		0	6	0	1	0
FER	C9-16	C9-16		0	3	0	1	0
FER	C10-14	C10-14		0	8	0	1	0
FER	C11-01	C11-01		0	1	0	1	0
FER	C11-02	C11-02		0	10	0	1	0
FER	CVI	CVI		24	0	12	1	0
FER	CX	CX		72	0	36	1	1
FER	CX-10	CX-10		0	10	0	1	0
FER	CXI-ZRK	CXI-ZRK		0	4	0	1	0
FER	CXII	CXII		80	0	40	1	1
FER	CXII-Z	CXII - ZAVOD		0	1	0	1	0
FER	CXIII	CXIII		0	1	0	1	0
FER	D033	D033		25	0	25	1	1
FER	D1	D1		252	0	70	2	1
FER	D138	D138		20	0	10	1	0
FER	D102	D102		10	0	0	1	1
FER	D105	D105		10	0	0	1	0
FER	D140	D140		0	12	0	1	0
FER	D152	D152		72	0	37	1	1
FER	D160	D160		10	0	10	1	0
FER	D2	D2		252	0	70	2	1
FER	D207	D207		20	0	10	1	1
FER	D241	D241		0	12	0	1	0
FER	D244	D244		0	12	0	1	0
FER	D251	D251		20	0	10	1	0
FER	D258	D258		32	0	16	1	1
FER	D260	D260		80	0	40	1	1
FER	D269	D269		24	0	12	1	1
FER	D270	D270		28	0	14	1	1
FER	D272	D272		72	0	40	1	1
FER	D273	D273		72	0	40	1	1
FER	D305	D305		12	0	12	1	0
FER	D306	D306		12	0	12	1	0
FER	D307	D307		0	6	0	1	0
FER	D335	D335		25	25	21	1	1
FER	D339	D339		25	25	21	1	1
FER	D346	D346		80	0	40	1	1
FER	D372	D372		0	12	0	1	0
FER	LABMEH	LABORATORIJ MEHATRONIKE		0	4	0	1	0
FER	PCLAB1	PCLAB1		20	20	20	1	1
FER	PCLAB2	PCLAB2		16	16	16	1	1
FER	PCLAB3	PCLAB3		16	16	16	1	1
FER	Knjiž1	Knjižnica1		0	0	17	2	1
FER	Knjiž2	Knjižnica2		0	0	17	2	1
FER	LABMOB	MOBILITY LAB.		0	6	0	1	0
FER	LABOPTO	OPTOLAB-ZRK		0	1	0	1	0
FER	FIZLAB	FIZIKA LABOS		0	24	0	1	0
FER	04-03	04-03		1	0	0	1	0
FER	05-13	04-03		1	0	0	1	0
FER	LAB_UE	LABORATORIJ UČINSKE ELEKTRONIKE		0	20	0	1	0
FER	LIL_LAB	LIL_LAB		0	10	0	1	0
FER	ZTEL	ZTEL		0	0	0	0	0
FER	ZEMRIS	ZEMRIS		0	0	0	0	0
FER	TCR	TCR		0	0	0	0	0
